Unnamed: 0,img,doctor,M1,M2,M3,M4,M5,experience,spearman,spearman_p,is_constant_rating,top_models
0,708_HC.png,Doc_A,3,4,5,5,5,senior,0.8944271909999159,0.040519326353834,False,"['M3', 'M4', 'M5']"
1,110_HC.png,Doc_A,1,2,2,3,3,senior,0.9486832980505137,0.013846832988859107,False,"['M4', 'M5']"
2,089_HC.png,Doc_A,1,4,5,4,4,senior,0.4472135954999579,0.45018485575210093,False,['M3']
3,592_HC.png,Doc_A,3,5,4,4,4,senior,0.22360679774997896,0.7176856442107861,False,['M2']
4,380_HC.png,Doc_A,1,1,1,4,3,senior,0.7826237921249264,0.11761376087345808,False,['M4']
5,771_HC.png,Doc_A,3,4,4,5,5,senior,0.9486832980505137,0.013846832988859107,False,"['M4', 'M5']"
6,519_HC.png,Doc_A,3,4,5,5,5,senior,0.8944271909999159,0.040519326353834,False,"['M3', 'M4', 'M5']"
7,561_2HC.png,Doc_A,3,4,5,5,5,senior,0.8944271909999159,0.040519326353834,False,"['M3', 'M4', 'M5']"
8,439_HC.png,Doc_A,5,4,4,5,5,senior,0.28867513459481287,0.6376180914006018,False,"['M1', 'M4', 'M5']"
9,493_HC.png,Doc_A,4,5,5,5,4,senior,0.0,1.0,False,"['M2', 'M3', 'M4']"
10,473_HC.png,Doc_A,3,5,5,4,5,senior,0.4472135954999579,0.45018485575210093,False,"['M2', 'M3', 'M5']"
11,510_HC.png,Doc_A,4,5,5,5,5,senior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
12,512_HC.png,Doc_A,3,5,5,5,5,senior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
13,193_2HC.png,Doc_A,1,2,4,5,4,senior,0.8207826816681234,0.08858700531354378,False,['M4']
14,001_HC.png,Doc_A,1,1,1,3,4,senior,0.8944271909999159,0.040519326353834,False,['M5']
15,208_HC.png,Doc_A,3,4,5,5,4,senior,0.5270462766947298,0.3614548502018728,False,"['M3', 'M4']"
16,178_HC.png,Doc_A,2,3,4,5,5,senior,0.9746794344808963,0.004818230468198566,False,"['M4', 'M5']"
17,032_HC.png,Doc_A,1,2,3,4,4,senior,0.9746794344808963,0.004818230468198566,False,"['M4', 'M5']"
18,026_2HC.png,Doc_A,1,1,1,4,4,senior,0.8660254037844386,0.05766888562243733,False,"['M4', 'M5']"
19,160_HC.png,Doc_A,2,5,5,5,5,senior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
20,350_HC.png,Doc_A,4,5,5,5,4,senior,0.0,1.0,False,"['M2', 'M3', 'M4']"
21,712_2HC.png,Doc_A,3,4,5,5,4,senior,0.5270462766947298,0.3614548502018728,False,"['M3', 'M4']"
22,058_HC.png,Doc_A,1,5,4,5,4,senior,0.31622776601683794,0.604181303590592,False,"['M2', 'M4']"
23,072_HC.png,Doc_A,4,4,5,5,5,senior,0.8660254037844386,0.05766888562243733,False,"['M3', 'M4', 'M5']"
24,719_HC.png,Doc_A,2,3,4,4,5,senior,0.9746794344808963,0.004818230468198566,False,['M5']
25,352_2HC.png,Doc_A,4,5,5,5,5,senior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
26,375_HC.png,Doc_A,4,4,5,5,5,senior,0.8660254037844386,0.05766888562243733,False,"['M3', 'M4', 'M5']"
27,057_HC.png,Doc_A,4,5,5,4,4,senior,-0.28867513459481287,0.6376180914006018,False,"['M2', 'M3']"
28,035_HC.png,Doc_A,1,5,5,5,5,senior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
29,357_HC.png,Doc_A,2,4,4,5,5,senior,0.9486832980505137,0.013846832988859107,False,"['M4', 'M5']"
30,708_HC.png,Doc_B,4,5,5,5,5,senior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
31,110_HC.png,Doc_B,1,2,2,4,5,senior,0.9746794344808963,0.004818230468198566,False,['M5']
32,089_HC.png,Doc_B,1,5,5,5,5,senior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
33,592_HC.png,Doc_B,3,5,5,4,4,senior,0.10540925533894598,0.8660377229253148,False,"['M2', 'M3']"
34,380_HC.png,Doc_B,2,2,2,4,4,senior,0.8660254037844386,0.05766888562243733,False,"['M4', 'M5']"
